English,animal,arm,ashes,bark,bed,belly,big,bird,bite,blood,bone,breast,burn,child,cloud,come,count,die,dog,drink,ear,eat,egg,elephant,eye,face,fall,"fat, oil",feather,fingernail,fire,fire-wood,fish,five,fly,four,give,goat,"ground, soil",hair,head,hear,heart,horn,house,hunger,intestine,kill,knee,knife,know,leaf,leg,liver,louse,man,moon,mouth,name,navel,neck,night,nose,one,person,rain,road,root,salt,sand,see,send,shame,sing,skin,sky,sleep,smoke,snake,spear,steal,stone,sun,tail,ten,three,tongue,tooth,tree,two,urine,village,vomit,walk,war,water,wind,woman,dew,iron
Fefe_Grassfields,nə̀ə,pō,vhʉ̄,kɔ̀p,kwɛ̄n,vàm,?,sāk,lōm,n-sì˚,cwīi,pɛ̄n,tòo,m-ūu,n-dùa,sàʔ,sāh,kʉ̄a,m-vʉ̄a,nū,tɔ̄k,zā,pòm,sʉ̄ʉ,zāh,sī,wùa,m-vāt,fhʉ̀,ŋ-kɔ̀p˚,m-ɔ̄h,n-cwī,m-bàānʃi,tīì,?,kùx,hā,m-vī,cāʔ,?,thū,ɥūʔ,n-tām,n-dɛ̄ˀ,n-dʉ̄a,n-ʒiɛ̀,n-tǒ,ʒī,?,pǐɛ,ʒī,hù˚,khù,mbìɛ,?,?,ŋū,nʃù,zɛ̄n,tɛ̀ʔ˚,ntɛ̄ʔ,thʉ̄ʔ,nzī,mɔ̀ʔ˚,wɛ̀n,mbàk,má-ǹ-ʒì,ŋgàʔ,ŋgwāˀ,?,ɥīi,tōm,?,yɔ̀ɔ,ŋgɔ̀p,?,lɔ̄h,?,nū,kwɛ̀ˀ,ʒʉ̀a,-lòk,nàm,ŋ̀kwɛ̀n,ɣǎm,tāa,lām,sɛ̀ˀ˚,thʉ̄,pʉá,nsìnsìi,lāʔ,?,nàk,ǹcò,nʃì˚,fùfùa,mʉ̀-nʒwīɛ,mùʔ˚,tɛ̄nʌ̄
Mungaka_Grassfields,ɲàm,bó,búˈmúˀ,ŋ-gùptʉ́,kún,bòm,?,mʉ́ˈ-sə́ŋ,núm,ǹ-cíbàŋ,kə́n,bʉ́n,kʉ́,m-ón,mù-mbàʔ,tó,táŋ,kú,m̀-vʉ́ʉ,nó,tóŋ,jʉ́,m-bòm,swén,líˀ,sʉ́,vǔ,ŋ-gwɛ́t,fè,ŋ-kìmì,m-úˀ,ŋ̀-kwíŋ,ǹ-sú,í-tàn,?,í-kwà,fá,m̀-bí,ǹ-cáʔ,ɲ̀ùŋ,tú,ɥūʔ,ǹ-tʉ́m,ǹ-dɔ́ŋ,n-dáp,n-jì,ǹ-tó,ɲɔ̌ʔ,?,mû-ní,jǐ,fù,kù,m̀bì,?,mʉ̀mbàŋ,ŋú,ǹcù,lʉ́ŋ,tɔ̀ŋ,tɔ́ŋ,fʉ́ɲə̀m,ŋ̀kɔ̌ŋˈnjíˀ,mɔ̌ʔ,mùn,mbə̀ŋ,?,ŋgàŋ,cí,?,yə́ə,tóm,?,jɔ̌p,ŋgúp,mʉ̀mbàʔ,lí,?,ɲó,kòŋ,jə̀ə́,wúó,nùm,sáŋ,wɔ́m,ítét,lʉ́m,sɔ̀ŋ,tʉ́,íbâ,cèn,ŋgɔ́ŋ,?,jǐt,bɛ̀t,ncì,fʉ̀fʉ̀ɛt,mʌ̀ŋgwí,mīnī,tʉ́n
Bamun_Grassfields,ɲàm,pú,vʉ́,ŋ-gùp tɨ́tɨ́,kún,vàm,?,mʌ́-síi,nɨ́mə́,n-ʃì,ŋ-kɨ́ɨ,pɨ́n,tɔ̌n,m-ɔ́n,m-bàaʔ,yàá,táá,kpɨ́,mʌ̀m-vɨ́,núə́,tɨ́t,yɨ́,pùm,n-sʉ́ən,lí,sɨ́,?,ŋ-gwɛ́t,fʉ̀t˚,ŋ-kíebə́,mu-ú,ŋ-kwé,n-ʃá,í-tèn,?,í-kpà,fá,mʌ̀m-bví,ʃá,ɲǜ,tú,ɥúʔ,n-tɨ́m,n-duú,n-dáp,n-jìə,n-tǔə,ŋɔ̀ˀɔ́,?,mʌ́-ɲí,ɥí,yàʔáfù˚,kùt,mbiə̀,?,mʉ̀mbà,mɨ́ɨt,nʃùt,lí,tùu,lɔ̀ɔt,ʃʉ́ʔ,yí,mɔ̄ˀ,mɨ̀n,mbɨ̀ɨ,ma̍ɲʒə̍,ŋgàa,̌ŋkíɛ́,?,ɥüə́nə́,?,?,yǔɔb,ŋgùp,púːt,líə́,?,ŋúə́,kùu,ɥüə̌rə́,wūə́,ɲām,ŋ̀kùn,ɣɔ́m,ítét,lʉ́m,sū,tɨ́tɨ́,ípàá,nʃɛ̀ɛ́ ŋkiɛ̄,ŋgùù,?,?,pìt,ŋkìɛ˚,fɨ̀fɨ̀ɛ̀t,mʌ̃̀ngbiə̌,mɨɨ̀ʔ,mbún
Kom_Grassfields,ə̄-ɲám,ə̄-kwœ́,ā-bvʊ́ˋ,ɛ̀-gvu-ə̀wún,ə̄-kɔínˊ,ə̄-lvʊâ,?,ə̄fə̄-ɲýīn,lōm,ə̄mə̄-lúŋˊ,ā-və́f,ī-ɣɛ́nˋ,ɲɔ̀ʔ,ə̄-waín,ə̄m-bàʔsə̀,gwì,tāŋtə́,kfʊ̄,ə̄-bʉ́ˋ,ɲṵ̄,ā-túŋlə́ˋ,kfə̄l,í-ɣwűˈḿ,â-tàm,ī-sʉ́,ī-kə̂ʔ,fe᷄,ə̄mə̄-və́l,ī-və̂l,?,ə̄-və́s,fə̀kāˋˀ,ə̄-ʃvʊ́,tāìn,taìn,kɛ̀,fū,ə̄-ɓʉɨ́,ə̄n-sē,ə̄-ɲʉ́ŋ,ā-tʰúˋ,ʒvʊ̄,ā-tɛ́m,ə̄n-dɔ̄ŋ,ə̄n-dō,ə̄-dʒɛ́ŋ̄,ə̄mə̄-tú,ʒȳ,ī-lvʊ́,ə̄-fə̄ɲỳ,?,ī-fʊ́,āvʊ́,àɣás,ə̄fənsɛ̂s,wúlùmnə̀,ə̄ndʒɔ̄ŋ,ə̄tʃvʊ̂,īɥínˊ,ītɔ́ŋ̄,ə́tɔ̋ˈŋ́,nə̄ntóʔó,āʒýˋ,mɔ̀,ə̄wúlˋ,īvʊ́ˊ,-dʒìì,īɣáŋ̄,ə̄fə̄ngwáŋ,?,ɥɛ̄n,tōm,?,ʒɛ̄m,?,īʒvʊ́,?,ə̄fə̄lə́ʔˋ,ə̄mbām,īɣɔ́ŋ̄,tʃɔ̄ŋ,ə̄ngɔ̀ʔ,ītʃvʊ́ īʒȳ,ənkɔìn,ìvə̄m,tál,īlɛ́mí,īsɔ́ŋ̄,ə̄fə̄kâʔ,bò,ə̄mə̄ndʒî,ə̄ntə̀ʔ,?,?,éɣɔ̋ˈŋ́,ə̄mú,āfʉɛ́fˋ,ə̄wí,āmʉâʔ,ākás
Oku_Grassfields,ɲàm,ē-bkɔ̂i,kə̄ɓə̂l,?,ē-bkón,ē-blɛ̂ː,?,fə̄-nʊ́n,lo᷆m,m̄-dóŋ,kē-vʊ́f,ī-ɣɨ̂n,ɲɔ̀k,ɣ-ɔ́n,m-bàk,gwì,ta᷆ŋ,kwūɔ̀,buɔ̂,ɲəː,kē-tóōlé,kfəl,ī-ɣúm̄,kè-tàm,ī-ʃiɛ̂,ī-kɨ̂k,fɛ̄ì,m̄-və́l,ī-və̂l,?,ɛ̄-βvə́s,m̀-kāˋk,sə́ː,tan,tàn,kwè,fɔ᷆,ɓʌî,n-tīɛ̀,nʊ̂ŋ,kē-tôː,ɥūɔ̀,ī-tɪ́m,n-dɔŋ,n-dāː̀,dʒíŋ,ēb-tɔ̂ː,ɥūì,ī-lʌî,fè-fìak,?,ī-fóː,kēvːə́,ìbɛ̄ì,?,ɛ̀blómɛ̀n,ndʒɔ̄ŋ,ēbtʃuɔ̂,īɣɪ́l,ītɔ́ŋ,ɛ̄btɔ́ŋ̄,nthəɨ̄k,īɥuî,mɔ̀,wɪ̂l,īwúː,dʒíː,īɣáŋ,fə̄ŋgwâŋ,kēsɛ́sɛí,ɥɛ᷆n,tom,?,ɥɪ᷆m,gwuɔ̂,gvūò,?,fēlîk,ɥuɔ̂,īɣɔ́ŋ,tʃɔ᷆ŋ,ŋgɔ̀k,tʃuî,ēbkón,ìvʊm,táː,kēléːmê,īʃɔ́ŋ,fēkâk,bâ,ə̄mə̄ndʒʉ̂ːnə̀,ntɛ̀k,?,?,?,m̄mɔ́ː,ēbfiɛ̂f,ɛ̀wīì,īŋwâk,kēkâs
Aghem_Grassfields,ɲɔ̀m,kɨ́-kwé,fə́ɲʌ́,?,ó-tʃʊɔ̂,ú-nuâ,?,fɨ́-nwɨ́n,í-núm,tɨ́-kâŋ,kɨ́-ɣɔ́ɔ,í-ɣé,í-kpâ,wɛ́,m-bàʔ,í-buɔ̂,í-táŋ,í-kpú,bvʊ́,ímʊ́,kɨ́-túŋˈɔ́,í-pfʊ́,í-ɣúm,ɲɔɔ̀ dzɨ̀,í-sɨ́,kẃaˀásə́,í-bvʊ̂,ń-vʊ́,í-vʊɔ̂,?,ó-wɨ́n,ŋ́-kâˀ,í-tsɪ́ɣá,tɛ̀,í-zɨ́ɣá,tʃi-àkɔ̀,í-fúó,dzɨ́,wé kɨ́ˈtsɨ́,ɲùŋ,kɨ́-tú,í-zú,fɨ̀ŋ,n-dɔ́ŋ,n-dúɣó,dzɨ̀ŋ,í-nɨ́ɲà,íɥí,í-ɲɨ́,fə́-ɲʌ́,ékúɔ́,í-fúˈú,kɨ́wú,ítɔ́m,?,ywìnô,ndzɔ́ŋ,ídzúɣó,ízɨ́n,ítɔ́ŋ,wātɔ̄ŋ,âtsóʔ wɔ́,íɥí,mɔ̀ʔ,wù,íwú,dʒì,íɣáŋ,ńtsɔ̂ʔ,kɨ́ʃɛ́ʃɛ́,íkɔ̂ʔ,ítúm,?,ízɔ́m,?,kówálá,?,kɨ́ɲɔ́ʔ,zúɣó,íɣɔ́ŋ,ítsɔ́ŋ,ŋgòʔ,ízú,íkɔí,íˈɣɪ́m,tɨ́ɣá,kɨ́nɔ́m,ísɔ́ŋ,fɨ́kâʔ,bɨ̀ɣà,mù ndʒwì,ínáʔ,?,?,tsàm,múú,ófɔ́,wí,tɨ́mɔ́ʔɔ̀,kɨ́bvóʔ
Njen_Grassfields,áɲɛ̀m,à-bókˋ,à-dzə̂m,?,ì-kúonˊ,á-bə̀m,?,á-ɲʉ̀n˚,?,à-lʉámˋ,à-kwínˊ,ì-bʉ́nˋ,?,wɛ́n,m-pàˀ,?,?,?,á-bū,?,à-tòŋə́,?,è-būom,ʃʉɔ̄n,ì-ɣʉ́ ˋ,ì-sí ˋ,?,mə̀-wútˊ,è-gü̂ri,m̀-bɛ̄n,è-yǖt,è-wínˊ,ʃú,tɛ̀ɛ́n,?,kwɛ̂k,?,gǘ,sɛ̄k,ɲə̂m,à-túˋ,?,èn-tʉ̰̄,ǹ-dɔ̄ŋ,lʉ́ɔ,ǹ-jɛ̀k,?,?,fì-njòŋ˚,ám-bɛ̄k,?,ì-fúˀˋ,àwū,ìbɛ̂k,ŋkɔ̀t,mbɛ̂n,ìŋṵ́ ˋ,ìtʃû,èlə́n ˋ,átɔ̀ŋ̥,àtɔ́ŋˋ,nìnjə̌m,ìjí,kɔ́ɔ mɔ̄ˀ,wɔ̂t,m̀bə̀ŋ,?,ìɣāŋ,áŋgwāŋ,?,?,?,?,?,gôp,ìgút,?,ǹdīˀ,àɣɨ́àbɔ̀ŋ,ìɣɔ̄ŋ,?,ìtɛ́kˊ,ɲə̂m,èkuon,ɣə̄m,tát,èlʉ́ʉ̰ˊ,ìsɔ̄ŋ,àʒǘtˊ,bīā,mètʃîn,àbén,?,?,ìbə́tˊ,mèlə́pˊ,?,wə̂wɛ̄k,?,àtʉ́nə́
Moghamo_Grassfields,ɲâm,á-bó,á-búrí,?,á-bâʔ,fí-bûm,?,fì-nə̀nˊ,?,á-nə́m,á-wú,í-bə́n,?,ŋw-ánˋ,ì-pàʔ,?,?,?,bók,?,à-tɔ̀ŋɨ́i,?,í-bɔ̄m,í-sə́n,í-ɣɨ́ˋ,ì-fě,?,mú-wút,í-ẅírì,í-yî̧,í-ẅīt,íŋ-wɛ́n,ʃú,í-tân,?,í-kwè,?,ˋgẅí ˋ,?,ɲɔ̂ŋ,á-tók,?,fɨ̂ŋ,ǹ-dɔ́ŋ,nə́p,ì-njej̀,?,?,í-nɥí,fí-bɛ́i,?,ì-fúʔ,áwōk,ìbìɣì,ìtìt,m̀baŋə̀,ímə́k,ícôk,íkúm,fítɔ̄ŋ,ádɔ́ʔ,èkǘrǘ,íjẅé,ímɔ̀ˀ,wɨ̂t,ímbə̂ŋ,?,áɣāŋ,fɨ̀ŋgwáŋ,?,?,?,?,?,gɔ̂p,àbɔ̀ŋɔ́,?,ìndīˀ,jó,íwɔ̄ŋ,?,ítɛ́i,ɲùmɔ̀,íkɔ̄n,ìwūm,ítát,ínɛ́mí,íʃɔ̄ŋ,áʒɛ́t,íbe̍,?,ábɛ́n,?,?,íbít,mɨ́níp,áfím,āyí,ámə̂ˀ,átɨ̧́
Tiv_Tivoid,i̱ɲa̱m,wəɣ,m-tuhwem,i-vuṷɣ,ga̱mbə,gbɔr,dzəgə̱,i̱-ɲo̭n,ɲu̥ma̱,a-wambə̥,ku-hwə,i-tyumba,a̱ŋgə̱r,w-an,i-bəmbəɣ,vḁ,ɔ̱r,kpwə̥,i̱-wa,mḁ,to-g̥h,yḁ,i-ji̥,no̱r,í-ʃə́,i-ʃiɣ,gba̝kon,m-kurem,ŋgu-r̥,i̱-kuu̱l,u-su̥,kon,i̱-ʃu,u̱-tḁa̱n,pu̱ru̱ɣ,ɲido,na,i-v̱o,i-ɲa,í-cə,i-tyouɣ,u̥ŋgwa̱,i̱-ʃima,ko-r̥,i̱-you,i̱-jə̭n,m-ya̭m,wu̥a̱,i-ɲu,i-hɔ̥,fḁ,a-hu̥,ŋguhwar,m-təmam,i̱u̱su̱,iyor̭,uwer,dzwa,iti,i̱combo̱,mo-n̥,tuɣ,ihiŋgḁ,mɔm̭,oṟ,ura,i̱gbu̱du̱,misə̥,bar,wara̱wa,nə̥ŋgə̱,tin̥di,?,tḁ ca-m̥,kwav,aɔ̱ndo̱,m-ɲam,m-ɲim,i̱yɔ,dagi̱,ihyura̭n,iwə-n̥,i̱yaŋgə,tsa,pu̱ə̱,u̱tar,nombo̭r,iɲiɣ,kon,uẖa-r̥,m-ɲandḙm,yaṟ,sua̱,dzəṉde,ityav,m-gərḙm,ahumbə̥,kwḁsə̥,avurə,iyɔ-g̥h
A11_Londo,n-yàmà,mò-kɔ̀,ù-bu,e-kuku,dì-nɔ̀ŋgɔ̀,m-ɛa,kɔlɔ,ì-nɔɔ,da,mà-cìá,è-sé,dì-bɛ́ɛ̀,aŋgɛ,ŋw-ánà,mo-tutu,ɸɔ,laŋga,wa,m-fáà,ŋwa,dì-tóò,dì-dá,mò-cyé,n-jɛ̀kù,dì-ísò,bo-so,kunda,dì-ɔ́mí,e-sa,è-sàsà,ŋw-ɛa,i-wori,ɲama,be-ta,kolwa,be-ni,i-ɲɛ,m-bódì,mo-ɲɛrɛ,n-yùŋgà,mò-dófò,oka,mò-démà,mò-sébá,n-dábò,n-ja,è-wùŋgé,boloa,dì-bɔ́ŋgɔ́,dì-ɛ́ndí,iwoa,è-ánì,mò-fáŋgá,dì-bà,ɲa,moina,ŋ-gɔndɛ,ò-àná,dì-ínà,dì-tɛ́ŋgù,dì-bɔ̀dì,bù-dite,mò-fìkí,eyɔkɔ,mò-tò,m-búà,n-jìá,muri,i-kwa,ɲaŋga,dɛ̀-ɛ́nɛ̀,loma,isɔsɔ,kɔnɔ,ɲolo,ŋw-adoba,iyɔ,motutu,n-yɔ́ɔ̀,dì-kɔ̀ŋgɔ́,ube,wà-ádè,loba,mò-kòndó,dondaro,beyaro,ì-yémè,dì-sòŋgá,bò-dé,beba,m-íɲádí,mò-kí,yoa,dì-kɛ̀ndɛ̀,b-ìdá,mà-líbá,ŋguŋga,ŋw-ádánà,bè-kɛdi,ebo
